"","PUBID_1997","KEY_SEX_1997","KEY_BDATE_M_1997","KEY_BDATE_Y_1997","CV_SAMPLE_TYPE_1997","SAMPLING_WEIGHT_CC_1997","CV_HGC_RES_DAD_1997","CV_HGC_RES_MOM_1997","KEY_RACE_ETHNICITY_1997","CV_HIGHEST_DEGREE_EVER_EDT_2017","SAMPLING_WEIGHT_CC_2017","degree_label","race"
"5676",7799,1,7,1984,0,109203,NA,10,1,3,134878,"AA","Black"
"5677",7800,1,10,1980,0,119689,14,14,1,2,162338,"HS Diploma","Black"
"5678",7801,2,9,1983,0,98488,11,12,1,0,125182,"None","Black"
"5679",7802,1,5,1980,0,115699,NA,11,1,2,156927,"HS Diploma","Black"
"5680",7803,1,9,1981,0,91391,NA,11,1,3,128453,"AA","Black"
"5681",7804,2,8,1983,0,98488,NA,11,1,2,125182,"HS Diploma","Black"
"5682",7805,1,7,1982,0,91751,14,12,1,2,119790,"HS Diploma","Black"
"5683",7806,1,4,1980,0,118217,12,11,1,4,160342,"BA","Black"
"5684",7807,1,11,1980,0,118217,11,9,1,5,160342,"MA","Black"
"5685",7808,1,12,1982,0,93747,11,12,1,1,122397,"GED","Black"
"5686",7810,1,9,1984,0,107139,NA,12,1,2,132328,"HS Diploma","Black"
"5687",7811,2,3,1984,0,105971,12,12,1,2,128027,"HS Diploma","Black"
"5688",7812,1,8,1981,0,91391,NA,11,1,1,128453,"GED","Black"
"5689",7813,2,3,1983,0,98488,NA,11,1,3,125182,"AA","Black"
"5690",7814,2,3,1980,0,83584,NA,NA,1,1,101209,"GED","Black"
"5691",7815,2,5,1983,0,98488,NA,NA,1,2,125182,"HS Diploma","Black"
"5692",7816,2,1,1980,0,83584,11,8,1,1,101209,"GED","Black"
"5693",7817,2,11,1981,0,103112,11,8,1,2,123162,"HS Diploma","Black"
"5694",7819,2,11,1980,0,83584,12,12,1,1,101209,"GED","Black"
"5695",7821,1,8,1981,0,91391,12,12,1,2,128453,"HS Diploma","Black"
"5696",7822,1,5,1983,0,98816,12,12,1,1,131675,"GED","Black"
"5697",7823,2,6,1981,0,103112,12,NA,1,0,123162,"None","Black"
"5698",7824,2,7,1981,0,103112,14,12,1,3,123162,"AA","Black"
"5699",7825,1,3,1981,0,91391,14,12,1,4,128453,"BA","Black"
"5700",7826,2,4,1980,0,83584,NA,12,1,2,101209,"HS Diploma","Black"
"5701",7828,2,2,1983,0,98488,NA,12,1,1,125182,"GED","Black"
"5702",7829,2,2,1981,0,103112,10,12,1,2,123162,"HS Diploma","Black"
"5703",7830,2,6,1981,0,103112,NA,14,1,2,123162,"HS Diploma","Black"
"5704",7831,1,5,1982,0,91751,NA,14,1,1,119790,"GED","Black"
"5705",7832,1,6,1984,0,105563,NA,12,1,2,130382,"HS Diploma","Black"
"5706",7834,1,8,1981,0,91391,NA,NA,1,1,128453,"GED","Black"
"5707",7835,1,6,1983,0,98816,NA,NA,1,1,131675,"GED","Black"
"5708",7837,2,1,1980,0,83584,NA,14,1,3,101209,"AA","Black"
"5709",7838,1,3,1983,0,100982,NA,12,1,1,134562,"GED","Black"
"5710",7839,1,1,1980,0,118236,NA,12,1,2,160368,"HS Diploma","Black"
"5711",7840,2,8,1983,0,118112,NA,12,1,2,150125,"HS Diploma","Black"
"5712",7841,2,4,1982,0,119208,NA,12,1,2,133851,"HS Diploma","Black"
"5713",7842,2,5,1983,0,118112,NA,12,1,2,150125,"HS Diploma","Black"
"5714",7843,2,3,1984,0,111149,NA,10,1,1,134282,"GED","Black"
"5715",7844,2,8,1982,0,105815,NA,12,1,1,118812,"GED","Black"
"5716",7845,1,8,1982,0,210858,16,14,1,3,275296,"AA","Black"
"5717",7846,2,12,1980,0,88976,12,12,1,3,107738,"AA","Black"
"5718",7850,1,5,1983,0,105811,NA,14,1,1,140998,"GED","Black"
"5719",7851,2,4,1981,0,251258,NA,14,1,2,300114,"HS Diploma","Black"
"5720",7853,2,4,1981,0,190919,19,16,2,5,235529,"MA","Hispanic"
"5721",7854,1,8,1982,0,230663,19,16,2,4,347414,"BA","Hispanic"
"5722",7855,1,4,1983,0,210913,12,12,2,2,303152,"HS Diploma","Hispanic"
"5723",7857,2,8,1982,0,99402,NA,13,1,3,111611,"AA","Black"
"5724",7858,2,8,1983,0,98488,12,8,1,2,125182,"HS Diploma","Black"
"5725",7859,1,12,1984,0,105563,12,8,1,0,130382,"None","Black"
"5726",7860,1,11,1984,0,105563,NA,14,1,1,130382,"GED","Black"
"5727",7861,1,4,1984,0,105563,NA,14,1,3,130382,"AA","Black"
"5728",7862,1,5,1981,0,91391,NA,12,1,1,128453,"GED","Black"
"5729",7863,2,10,1980,0,83584,12,12,1,2,101209,"HS Diploma","Black"
"5730",7864,1,8,1982,0,91751,12,12,1,3,119790,"AA","Black"
"5731",7865,1,11,1980,0,115699,NA,14,1,3,156927,"AA","Black"
"5732",7866,1,1,1982,0,91751,NA,14,1,2,119790,"HS Diploma","Black"
"5733",7867,1,5,1981,0,91391,NA,NA,1,2,128453,"HS Diploma","Black"
"5734",7868,2,11,1984,0,104413,NA,12,1,2,126144,"HS Diploma","Black"
"5735",7869,1,9,1981,0,91391,NA,11,1,1,128453,"GED","Black"
"5736",7870,2,1,1984,0,104413,12,12,1,6,126144,"PhD","Black"
"5737",7872,2,1,1983,0,98488,14,13,1,2,125182,"HS Diploma","Black"
"5738",7873,2,1,1980,0,83584,NA,12,1,0,101209,"None","Black"
"5739",7874,2,6,1983,0,98488,NA,12,1,3,125182,"AA","Black"
"5740",7875,1,8,1980,0,115699,12,12,1,4,156927,"BA","Black"
"5741",7876,1,12,1983,0,98816,NA,NA,1,0,131675,"None","Black"
"5742",7877,2,5,1980,0,113026,NA,10,2,2,140920,"HS Diploma","Hispanic"
"5743",7878,2,11,1981,0,94840,NA,10,2,1,117000,"GED","Hispanic"
"5744",7880,2,11,1980,0,91765,NA,13,1,0,111115,"None","Black"
"5745",7882,1,9,1981,0,100337,NA,9,1,2,141025,"HS Diploma","Black"
"5746",7883,1,10,1980,0,127024,NA,12,1,1,172287,"GED","Black"
"5747",7886,2,12,1982,0,109131,NA,11,1,2,122536,"HS Diploma","Black"
"5748",7887,2,7,1981,0,113205,NA,11,1,2,135217,"HS Diploma","Black"
"5749",7888,2,9,1982,0,109131,NA,11,1,1,122536,"GED","Black"
"5750",7889,1,5,1980,0,127024,NA,10,1,0,172287,"None","Black"
"5751",7890,1,6,1982,0,100731,NA,10,1,1,131515,"GED","Black"
"5752",7891,1,12,1981,0,100337,NA,14,1,2,141025,"HS Diploma","Black"
"5753",7892,2,10,1983,0,108128,NA,14,1,1,137434,"GED","Black"
"5754",7893,1,4,1982,0,101034,NA,NA,1,0,131910,"None","Black"
"5755",7894,1,11,1981,0,100638,NA,11,1,2,141449,"HS Diploma","Black"
"5756",7895,2,5,1983,0,108452,NA,10,1,3,137847,"AA","Black"
"5757",7896,2,5,1983,0,108452,NA,10,1,3,137847,"AA","Black"
"5758",7897,1,9,1983,0,108813,12,NA,1,0,144998,"None","Black"
"5759",7898,1,11,1984,0,116244,NA,10,1,4,143573,"BA","Black"
"5760",7899,2,10,1982,0,109459,NA,11,1,2,122904,"HS Diploma","Black"
"5761",7901,2,8,1980,0,94032,12,12,1,2,113860,"HS Diploma","Black"
"5762",7902,1,2,1983,0,111167,12,12,1,3,148135,"AA","Black"
"5763",7903,2,10,1980,0,99658,NA,14,1,2,120672,"HS Diploma","Black"
"5764",7904,2,3,1982,0,118517,14,13,1,3,133075,"AA","Black"
"5765",7905,1,4,1983,0,117819,12,NA,1,0,156997,"None","Black"
"5766",7906,2,2,1984,0,124492,NA,12,1,5,150403,"MA","Black"
"5767",7908,2,3,1984,0,105917,11,10,1,1,127961,"GED","Black"
"5768",7909,2,8,1982,0,100833,NA,NA,1,0,113219,"None","Black"
"5769",7910,1,1,1981,0,92707,12,14,1,2,130303,"HS Diploma","Black"
"5770",7911,2,10,1980,0,84788,12,12,1,0,102666,"None","Black"
"5771",7912,1,5,1984,0,107083,12,12,1,2,132260,"HS Diploma","Black"
